news_id,category,subcategory,title,abstract
N52289,news,newscrime,Renton police investigating 3 carjackings from Sunday night,"Renton Police are investigating a series of carjackings that took place both in Renton and Tukwila over the weekend. Seattle residents Keeley Madigan and Violetta (who did not want to give her last name) were victims in the first carjacking. The two were parked at the Walmart in Renton Sunday evening when a group of young men approached their car asking for directions to Tukwila. ""At first I was nervous but when they asked for directions I was..."
N37159,foodanddrink,restaurantsandnews,National Sandwich Day: Where to score free subs and meal deals Sunday,"National Sandwich Day is a day for free food, deals and discounts at Jimmy John's, Jersey Mike's Subs, Subway, Potbelly Sandwich Shop and more."
N21564,video,news,Rep. Biggs calls the first public impeachment hearing a 'dud',Arizona Republican Rep. Andy Biggs weighs says the Speaker Nancy Pelosi is 'playing defense' on the first public House Intelligence Committee impeachment hearing.
N34425,weather,weathertopstories,Powerful coastal storm could become a bomb cyclone by Thursday,"The powerful coastal storm that moved in overnight could strengthen at a fast enough pace into Thursday to be classified as a ""bomb cyclone,"" according to AccuWeather. The barometric pressure has to drop at least 24 millibars, or 0.71 of an inch of Mercury, within 24 hours for a storm to meet the bomb-cyclone criteria. […]"
N38324,health,medical,"How to Get Rid of Skin Tags, According to a Dermatologist","They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest."
N47632,finance,financenews,'Left Us With Nothing': Hit & Run Victim Left Seriously Injured With No Vehicle,Longmont police are teaming up with a mother and son to ask for help finding a hit-and-run driver.
N25636,video,animals,Hawk flies into Florida woman's car,LaShondra Lightsey says God was protecting her family as she swerved off the road after the hawk flew in through an open window.
N59004,foodanddrink,recipes,27 Nearly Forgotten Thanksgiving Recipes,"Remember these vintage Thanksgiving recipes like oyster stuffing, sweet gelatin molds and Cornish game hens? The post 27 Nearly Forgotten Thanksgiving Recipes appeared first on Taste of Home."
N17918,music,musicnews,'We're all reliving it again:' Birmingham community says Taylor Williams' disappearance brings back fresh memories of recent Amber Alert,"Taylor Williams' disappearance struck a chord with people in Alabama, and not just because her extended family lives there. The city of Birmingham recently endured its own Amber Alert. People in the city said news of Taylor's disappearance brings back fresh memories. ""It has just brought back that same thing, that anxiety of hoping that they find her and that stress that it just bothers me,"" Kristal Bryant said. One month ago, Bryant's bakery..."
N17973,health,nutrition,Is Tofu Good For Weight Loss? Dietitians Say Yes - and Here's How Much You Should Be Eating,"Marinated, sautéed, puréed, baked, or scrambled, tofu has become one of my favorite foods to eat."
N23879,music,musicnews,"Country Mile episode 6: Martina McBride, Sara Evans talk 'Requested Material'","Country Mile is a podcast series by The Tennessean, part of the USA Today Network, and Belmont University. Episode 6 features Martina McBride and Sara Evans."
N53227,weather,weathertopstories,"Rebirth, angst and the 'new normal' of California wildfires","Bobbie Chandler watched in horror as the California wine country fires destroyed his childhood home in 2017. His family rose from the ashes, only to relive the terror this fire season. (Nov. 11)"
N53531,tv,tv-celebrity,Lori Loughlin Is Facing New Charges in the College Admissions Scandal,Federal prosecutors brought new charges on Tuesday.
N27863,news,factcheck,Debunking 4 Viral Rumors About the Bidens and Ukraine,"Accusations that President Trump shaped American policy toward Ukraine for his own political gain exploded into a crisis for the White House in September after a whistle-blower complaint. Lawmakers have been examining how Mr. Trump pushed the Ukrainians to investigate the hacking of the Democratic National Committee in 2016 and former Vice President Joseph R. Biden Jr. and his son Hunter, a lawyer and former lobbyist. Those questions are now at..."
N32053,news,newsweather,"Philadelphia Weather: Freezing Temperatures Set New Record-Low In Philadelphia, Surrounding Areas","The temperature dropped to a 23 degrees in Philadelphia, breaking a record-low for Nov. 13 that had been set in 1996."
N18608,news,newsworld,Mayor Kenney Signs law protecting rights of transgender and non-binary residents,"Mayor Kenney signed a bill today that protects the rights of non-binary and trans individuals. Councilmember Helen Gym sponsored the bill, according to CBS. The new law requires all youth organizations to create and implement policies to protect young transgender folks. Additionally, the law requires all public buildings to have access to gender-neutral bathrooms, including bathrooms throughout city hall. An extensive study performed by The..."
N23939,travel,travelarticle,Giants plan huge changes to 2020 parking as they eliminate hundreds of spaces,"To encourage fans to take transit to Oracle Park next season   when the Giants turn a big chunk of the main parking lot into a construction zone   the club is making significant changes to its parking prices and structure, The Chronicle has learned. Parking costs at Lot A, Pier 48 and Lot C south of McCovey Cove will increase for many games as work begins on the Giants' massive Mission Rock project, a 28-acre residential, office and..."
N50592,travel,travelnews,This Italian Beach is Going to Start Charging Admission,"Visitors to Sardinia's La Pelosa beach may have to plan well in advance will be charged a fee to enter as well as have to be one of the first 1,500 guests to arrive to be allowed in."
N11338,sports,icehockey_nhl,VIDEO: Jack Hughes Gets Destroyed by Matt Niskanen in Classic Welcome to NHL Moment,"Hey rookie, welcome to the NHL. It's been an adequate first month in the NHL for No. 1 overall pick Jack Hughes, as we've seen some glimpses of brilliance. On Friday night, he received another reminder that despite his other-worldly talent, he must always keep his eyes up on the ice. Veteran d-man Matt Niskanen delivered this lesson in a painful manner. Matt Niskanen lays out Jack Hughes and Kyle Palmieri comes to his defense..."
N44268,sports,basketball_nba,"With Dejounte Murray, Spurs see need for speed","ATLANTA   Through three quarters Sunday against the Los Angeles Lakers, Spurs point guard Dejounte Murray struggled. He had missed four of his first five shots and accounted for as many turnovers as points (two). When it came time to start the fourth quarter, with the Spurs having closed a 19-point gap to five, assistant coach Tim Duncan dispatched Murray with a bit of advice that, on the surface, might have seemed counter-intuitive. ""Tim told..."
N52548,travel,travelarticle,Local sailing community reacts to fatal boat crash,"NEWPORT -- An investigation that largely exonerated a powerboat operator who collided with a sailing catamaran, resulting in the death of the sailor, has focused attention on the risks of a busy harbor and Narragansett Bay in the summer and the responsibilities of powerboat operators and sailors. ""Particularly in the Newport Harbor area, especially on weekends, everyone has to be extra ..."
N44848,sports,golf,Thomas up to world No. 4 following CJ Cup victory,"After winning the CJ Cup for the second time in three years, Justin Thomas is back to No. 4 in the latest world rankings."
N21201,lifestyle,lifestylebuzz,"Veterans Day 2019: What's open, what's closed on Monday? Banks, UPS, mail delivery, stock markets, stores, malls","2019 is Monday, Nov. 11. It is an annual day to honor men and women who served in the U.S. military. Veterans Day, which celebrates the service of all military veterans, is sometimes confused with Memorial Day, the holiday in late May that honors those who died while serving in the military. Here is everything you need to know about what's open and what's closed on Veterans Day ..."
N49267,news,newsus,"One dead, three injured in Northwest Austin crash","A man was pronounced dead following a crash in Northwest Austin near Steiner Ranch early Sunday, officials said. Austin-Travis County EMS Medics responded to the wreck in the 5600 block of N. RM 620 just after 2 a.m. Four people were involved in the crash. Two people were taken to the Round Rock Medical Center with serious but not expected to be life-threatening injuries. A third person ..."
N16994,autos,autosnews,Aurora Public School Bus Involved In Crash In Watkins,Colorado State Patrol is investigating a crash between a school bus and a pickup truck Monday afternoon.
N5927,lifestyle,lifestylebuzz,Rockland NAACP leader 'astounded' by Bed Bath & Beyond's blackface pumpkins,"Days after the appearance of blackface pumpkins, a civil rights leader was astounded people still don't realize how offensive that symbol can be."
N30313,sports,football_nfl,"Eagles-Bills: scouting report, matchups and prediction | Paul Domowitch","The Eagles will look to avoid a three-game losing streak, all on the road, when they travel to Buffalo on Sunday to play the surprisingly 5-1 Bills. Game time is 1 p.m. Here's an in-depth breakdown of the game. When the Eagles run the ball The Eagles' ground game essentially has become a one-man show. While rookie Miles Sanders has been productive in the passing game, he has struggled as a ..."
N48471,sports,racing,"@nascarcasm dispatch from Miami: The dude romper, unleashed","I have always been a man of my word. This is a value that was instilled in me at a young age by my parents, whom I continued to disappoint on a daily basis and still do, but that's another topic entirely. I keep promises. I proved this a couple of years ago, as you'll […]"
N52850,news,newspolitics,Schiff accuses Trump of 'witness intimidation',House Intelligence Committee Chairman Adam Schiff issued a veiled threat against President Trump for tweeting about former Ukraine Ambassador Marie Yovanovich as she testified before the panel in Day Two of the public impeachment proceedings.
N14934,travel,travelarticle,"Riders Rescued After Universal Orlando's ""Rip Ride Rockit"" Roller Coaster Breaks Down",It was a rough start to the day for some people at Universal Studios in Orlando.
N3217,video,news,Netanyahu loses grip on Israeli politics after a decade,"For the second time this year, Israeli Prime Minister Benjamin Netanyahu has failed to form a government, opening the door for his main rival Benny Gantz to do so."
N52828,travel,traveltripideas,"The 17 best resorts in the world, according to travelers","The resorts on this list include multiple African safari spots, two castles in Ireland, and one converted sheep farm in Iceland."
N1824,sports,football_nfl,Crossed wires: Windy City Gridiron picks Bears-Chargers,"If the Bears can't beat the Chargers, who can they beat?"
N38100,news,newsus,EPA adds arsenic-contaminated neighborhood to priority list,"KENT, N.Y. (AP)   The Environmental Protection Agency has added a neighborhood near a former arsenic mine in Putnam County to the Superfund National Priorities List. The site in the town of Kent was proposed to be added to the priority cleanup list last spring after elevated arsenic levels were found in soil near 10 homes. The site is downhill from a 19th-century arsenic mine. EPA has removed contaminated soil on some properties and covered soil..."
N31666,movies,movienews,"Rose McGowan Files Lawsuit Against Harvey Weinstein, Others Over ""Campaign"" To Suppress Victims' Claims","Rose McGowan has filed a lawsuit alleging that Harvey Weinstein and what the suit claims is his ""team of fixers""   attorneys David Boies and Lisa Bloom and an Israeli private-security contractor   conspired to silence sexual assault victims. Those include McGowan, who wrote in her 2018 memoir Brave that Weinstein raped her at the"
N12674,sports,football_ncaa,'A lot of schools missed out': Ryle alum Tanner Morgan winning big for top-10 Minnesota,"Tanner Morgan was deemed a little too short and a little too slow, but the sophomore from Kentucky is now quarterbacking a top-10 team."
N23382,news,newscrime,Third child dies from injuries in Sunday apartment fire,"A young child who was critically injured in an apartment fire south of downtown St. Louis has died. On Oct. 20, the St. Louis Fire Department responded to the 1100 block of S. 14th Street where a 6-month-old girl and two other young children were trapped in a fire. Six-month-old Damarion Eiland was pronounced dead at the scene and a 5-year-old girl and 4-year-old girl were transported to a hospital in critical condition. On Oct. 21, the..."
N29244,news,newsus,Top Baltimore news: Rowhome consumed by fire; Council pushes for action on sewage backups; more,"Here's the most recent top news in Baltimore; see what headlines are trending among local readers, with links to full articles."
N43908,news,newsworld,Patek Philippe watch sells for record $31 million at auction,This Patek Philippe watch has become the most expensive timepiece ever to sell at auction.
N2311,news,newsus,Special Report: House votes to pass impeachment resolution,The House of Representatives has voted to pass a resolution to outline impeachment proceedings against President Trump. NBC News' team of reporters breaks down the vote and what the next steps are in the impeachment inquiry.
N28792,news,newsworld,Special Operations Raid Said to Kill Senior Terrorist Leader in Syria,"United States Special Operations commandos carried out a risky raid in northwestern Syria on Saturday against a senior terrorist leader there, two senior administration officials said late Saturday."
N23447,news,newscrime,"Horse found stabbed in Campobello, police say; 3 horse attacks reported in 2 weeks","A horse had to be euthanized after it was found stabbed, according to Campobello police. Campobello police said the 24-year-old horse was found about 5:30 p.m. Wednesday on Patterson and Runion roads. Sign up for our Newsletters Spartanburg County Environmental Enforcement Department Director James Nelson said the Palomino Quarter horse had a laceration to it's lower leg and a puncture wound under its midsection. A veterinarian said the injuries..."
N17117,news,newscrime,West Hollywood school administrator embroiled in college admissions scandal pleads guilty,The administrator of a small West Hollywood school where the rich and powerful went to rig their children's college entrance exams pleaded guilty in a Boston courtroom Wednesday to conspiracy to commit racketeering.
N33895,travel,traveltripideas,The 13 Best Places to See the Northern Lights,Check the aurora borealis off your bucket list.
N55724,sports,basketball_nba,'Out of my hands': Harry Giles III speaks on Kings' decision to decline his option,"ATLANTA -- Kings center Harry Giles III was happy to be back on the floor in his season debut against the Atlanta Hawks on Friday night, but he had little to say about the organization's recent decision to decline his option for next season. The Kings announced Oct. 31 they were picking up rookie-scale options for point guard De'Aaron Fox and forward Marvin Bagley III. They declined ..."
N38465,news,newsus,3 Army soldiers killed in training accident ID'd,Fort Stewart officials said the soldiers' vehicle rolled off a bridge and become submerged upside down in a stream.
N15551,news,newsus,Budget apartments for rent in Downtown Baltimore,Finding a bargain can be a challenge if you're on the hunt for a new spot to live on a budget. So what does the low-end rental price in Downtown look like these days?
N37230,travel,travelarticle,'I think we landed': Video captures plane skidding off runway at O'Hare Airport,"Passengers of an American Airlines flight landing at Chicago's O'Hare International Airport got a scare as their plane attempted to land Monday morning. American Eagle Flight 4125, operated by Envoy Air, came in for a landing only to skid off the runway due to icy conditions in the area. Sign up for our Newsletters Passengers told ABC News that visibility was bad at the time of the landing and that pilots attempted the landing another time..."
N43921,sports,icehockey_nhl,Devils Complete Tailspin to Start the Season Despite Successful Offseason is Laughable,"Devils fans had a lot of hope during the summer of 2019, but their team has done a pretty good job of suffocating it. Since New Jersey took a 4-0 lead on a Stanley Cup contender in the Winnipeg Jets on opening night, pretty much everything has been downhill. Subban: ""Everybody can look at the coaching staff, they're doing their job. As players, we have to do a better job."" pic.twitter.com/BFmUwcBeZE   New Jersey Devils (@NJDevils) October 14,..."
N21371,sports,football_ncaa,Manny Diaz: 'Recruiting is going great' for the Miami Hurricanes,"Following three consecutive victories, a bye week comes at a perfect time to let Miami Hurricanes coaches capitalize on it by fitting in some extra in-season recruiting. According to UM coach Manny Diaz, the team's recruiting efforts deep into his first season as head coach are holding up strong, especially after the Hurricanes' latest victory, a 52-27 thrashing of Louisville. ""Recruiting is ..."
N40402,foodanddrink,recipes,38 Snacks for Your Office Christmas Party,You'll have no time for awkward small talk with coworkers when everyone is devouring these easy and festive office party snacks. The post 38 Snacks for Your Office Christmas Party appeared first on Taste of Home.
N37154,news,newsopinion,America's Goodly Veneer Was a Lie,"If the country awakes from its nightmare, the knowledge Americans will have gleaned from these years is harrowing."
N10296,news,newsworld,Cincinnati police seek suspect in North Avondale Metro bus shooting of 21-year-old,"Police are asking for help finding Jamel Williams, a suspect in the Aug. 17 fatal shooting of Neko Larkin aboard a Metro bus in Cincinnati."
N16938,news,newsus,Gov. Andrew Cuomo Directs State Agencies To Investigate 'Horrifying' Conditions At Bronx Apartment Building,"The building in question allegedly has bedbug infestations, and there are allegations of drug-related crime taking place there."
N39956,foodanddrink,newstrends,A 'Cake Boss' Pastry Chef Returns to Washington Ave With a Bakery and Sandwich Shop,Chad Durkin is opening Porcos and Small Oven in his old Kermit's Bake Shoppe space
N28487,finance,finance-companies,China to Ask U.S. to End Sanctions on Its Biggest Shipping Company,"China plans to ask the U.S. to lift sanctions on its biggest shipping company at high-level trade negotiations in Washington this week, people familiar with the matter said."
N16575,weather,weathertopstories,Early winter weather hits Butler County: 125-year-old snow record broken,"The region broke records set 125 years ago for amount of snow on Nov. 11 and saw measurable snow more than two weeks earlier than normal, according to the National Weather Service in Wilmington."
N7166,news,newsus,Mural of activist Greta Thunberg goes up in San Francisco,It aims to draw attention to climate change
N4695,news,newsus,Florida's building code doesn't take sea rise into account. That could change this year,"The last time the Florida building code changed, it required any new construction along the coast to elevate buildings a whole foot. Just three years later, that doesn't look like enough. There's a call to go up yet another foot. The rising base elevations of homes are a clear sign that - despite waffling political rhetoric from the federal and state level - the people who plan and build in ..."
N54176,sports,football_ncaa,Game Day: Louisville vs. Clemson,The third-ranked Tigers head to Louisville to take on the suddenly red-hot Cardinals.
N34928,news,newsus,Family Of 4 Displaced After Massive House Fire In Edgewater,Anne Arundel County Fire crews were on the scene of a fire in Edgewater Sunday afternoon.
N45916,foodanddrink,newstrends,A Mellow Sports Bar Hangout Hides in Plain Sight Along La Brea,The new Berkshire House is now open along a busy Mid-City drag
N27872,travel,travelnews,Crews rescue 4 stranded on Maine river,"Four people were rescued after nearly five hours stranded in a boat on the Penobscot River. Rescue crews responded to the area in Bradley a little after 3 p.m. Monday. Sign up for our Newsletters Officials say three men from the University of Maine were in a boat when it got caught on rocks. A Maine Game Warden went out to rescue them, but his boat submerged. He wound up in their boat. A Coast Guard crew was then called in to help. It is unclear..."
N12891,sports,baseball_mlb,"The 11 best Mets minor league hitters I saw this year: 2, Francisco Alvarez",Counting down the best minor league hitters I saw in 2019.
N26391,lifestyle,lifestylecelebstyle,All the looks your favorite celebrities wore to the 2019 Emmys,"Celebrities including Brittany Snow, Jameela Jamil, and Milo Ventimiglia arrived at the 2019 Emmy Awards in glamorous ensembles."
N31009,sports,football_nfl,2 takeaways from the Lions' loss to the Bears,Detroit comes up short at Soldier Field.
N34099,finance,personalfinance,7 reasons not to be embarrassed about your debt,Don't be ashamed. Take control of your debt instead.
N27429,finance,finance-companies,The director behind 'The Social Network' just wrote a scathing op-ed criticizing Facebook's political ad policy,"Facebook is under fire for its decision to not fact-check political ads, and the latest critic is ""The Social Network"" director Aaron Sorkin."
N38341,sports,football_nfl,Third quarter open thread for Week 10: Buccaneers vs. Cardinals,The gameday threads for Bucs Nation.
N54678,news,newsus,Pittsburgh's swankiest cribs for rent right now,"It's true: the priciest rental in Pittsburgh costs $2,500/month. But what glamorous features come with the extreme prices?"
N19365,news,newsus,"California fires: The Maria Fire menaces Ventura County, but weather conditions give firefighters hope","A wildfire erupted overnight in the hills above communities in Southern California's Ventura County, forcing evacuations for thousands of people even as weather conditions may be improving for firefighters battling blazes across the state."
N39610,sports,football_nfl,Pittsburgh Steelers Fact or Fiction: Back to Work edition,"After a rare West Coast win and a bye for the Pittsburgh Steelers, BTSC takes five bold statements surrounding the current state of the team and labels them as Fact or Fiction."
N28015,news,newsus,California 'veered' out of its lane in climate pact with Quebec -U.S. lawsuit,"The United States on Wednesday sued California and other state entities for entering a climate agreement with a Canadian province, saying the state had no right to conduct foreign policy, in the latest feud between the Trump administration and the state."
N15239,sports,football_nfl,Landry: 'We're gonna win' vs. Patriots was not a guarantee,"Browns WR Jarvis Landry said ""we're gonna win"" vs. the Patriots, but his statement was an indication of Cleveland's mindset rather than a guarantee."
N14794,sports,basketball_nba,"Markelle Fultz, now the Orlando Magic point guard, back to having fun","ORLANDO -- The change of scenery has benefited Markelle Fultz. It's not just because at 68 degrees, ""The City Beautiful"" was 32 degrees warmer than Philadelphia's projected high for Wednesday. Fultz also appears more relaxed with the Orlando Magic in what is a less pressure-packed situation than he had as a 76er. And while his perimeter shot remains a work in progress, his shooting mechanics ..."
N36741,autos,autosnews,Is Lamborghini Testing The Urus ST-X At The Nürburgring?,This could be the rumored road-legal version of the racer.
N32144,news,newspolitics,"As impeachment inquiry goes public, federal prosecutors quietly investigate Giuliani","Prosecutors are looking at Rudy Giuliani, President Donald Trump's lawyer."
N5221,sports,basketball_nba,"Gordon Hayward's Wife, Robyn, Reacts To Celtics Forward Fracturing Hand",https://www.dailymotion.com/embed/video/x ntycn Robyn Hayward feels your pain Green Teamers. As you surely know by now Gordon Hayward fractured his hand Saturday night in the Celtics' win over the San Antonio Spurs. The
N38676,finance,financenews,Microsoft CEO Satya Nadella gets a 66% raise,Microsoft CEO Satya Nadella got a 66% raise in the company's latest fiscal year.
N61985,news,newspolitics,Trump impeachment probe to focus on more key witnesses this week,Trump impeachment probe to focus on more key witnesses this week
N3355,sports,football_nfl,Arizona Cardinals among teams scheduled to attend Colin Kaepernick's workout,The Arizona Cardinals are among the teams scheduled to attend Colin Kaepernick's workout for NFL teams in Atlanta on Saturday.
N56942,sports,icehockey_nhl,Quick Strikes: Lightning voted most disappointing NHL team so far this season,The rest of the league is not impressed with the Bolts so far.
N23772,sports,basketball_nba,Agents' advice on NBA-China spat: 'No upside to speaking out',Agents discuss whether the NBA-China spat will impact the cap and how they're advising players to answer questions about the situation.
N49877,news,newsus,Risks of President Jimmy Carter's operation for brain pressure,Former President Jimmy Carter was hospitalized in Atlanta late Monday for a surgical procedure to relieve pressure on his brain. This comes after the 95-year-old suffered several falls that triggered swelling in his brain. Dr. Janette Nesheiwat joined CBSN to discuss the risks of the procedure.
N352,finance,finance-companies,"Taxpayer money, state endorsement fuels Meow Wolf expansion","SANTA FE, N.M. (AP)   The arts-based entertainment company Meow Wolf continues to leverage public incentives and subsidies in its home state of New Mexico as it prepares to expand to major U.S. cities, winning approval for a half-million dollars in state job-training funds on top of recent awards that offset infrastructure costs. The board of the New Mexico Job Training Incentive Program last Friday approved the $528,000 grant for the art..."
N13996,travel,travelnews,Around the world in photos: Incredible pictures of Machu Picchu shrouded in mist and sun-drenched camel riders in India are named among this year's best travel images,Stunning pictures capturing breath-taking beauty from all corners of the world have been revealed as part of a travel photography competition.
N53894,video,animals,Wombat Goes To Dentist And Now We've Seen It All,A wombat goes to the dentist.
N47565,video,science,Here's Why Rain Smells So Good,"It's not in your head, researchers have discovered why there's a sweet, fresh scent after a rainfall."
N44264,health,health-news,This Company Is Giving Nurses Free Flights to the Caribbean,50 hard-working nurses - and their plus-ones - will be sent to the tropical destination of their choice.
N42250,music,music-celebrity,Shawn Mendes Reveals He's Only Been 'Official' with Girlfriend Camila Cabello for 4 Months,Shawn Mendes Reveals When He and Camila Cabello Started Dating
N10759,sports,football_nfl,"Bears vs. Lions: How to get tickets, channel info, weather, odds, previews and more!",This is everything you need to know about the Bears game this Sunday against the Lions.
N9157,sports,baseball_mlb,The Cubs were one of three teams who exceeded the luxury tax in 2019,"They stayed under the top level, though."
N48727,news,newsscienceandtechnology,"Driving tiny electric cars helped these lab rats feel more relaxed, and we should all learn from them",Bigger isn't always better
N25249,foodanddrink,newstrends,Peters Massage Parlors Owner Arrested On Prostitution Charges,Yu Sin owns two Peters massage parlors.
N2415,autos,autosclassics,Low-Mileage Porsche 944 Is A Museum Find,This unloved Porsche is now a pristine masterpiece.
N43619,movies,movies-gallery,"20 Actors Digitally De-Aged on Film, From Brad Pitt to Robert De Niro (Photos)","Will Smith is the latest actor to go under the digital knife in the sci-fi ""Gemini Man"""
N56265,sports,football_nfl,Browns win at home for first time this season: What they're saying about it on social media,"CLEVELAND, Ohio -- Behind the dual-backfield of Kareem Hunt and Nick Chubb, Cleveland beat the Buffalo Bills at FirstEnergy Stadium on Sunday to improve to 3-6 and move two games back of the final AFC wild card spot. There were three second-half lead changes, including the game-winning touchdown catch from Baker Mayfield to Rashard Higgins with 1:48 to play. After Higgins's heroics, the Browns ..."
N7992,travel,travelnews,You can now stay in a giant guitar-shaped hotel that you have to see to believe,Want to sleep in a building shaped like a guitar? The Seminole Hard Rock Hotel & Casino in South Florida is taking things to the next level.
N36853,lifestyle,lifestylebuzz,This 190-pound dog had to be carried down a mountain after refusing to continue hike,"Floyd, a mastiff, decided he was absolutely done while hiking the Grandeur Peak Trail near Salt Lake City."
N57068,foodanddrink,newstrends,19 students to withdraw or face expulsion proceedings after Tech fight,"As of Monday, 17 students facing expulsion have withdrawn their enrollment. The board also approved expelling one student in closed session Oct. 10"
